,Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Trasmission,Price,Gov
5522,Hyundai,Accent,Sedan,Brown,2015,Benzine,160000 to 179999,1600 CC,Automatic,200.0,Qalyubia
5523,Hyundai,Accent,Sedan,Red,2021,Benzine,10000 to 19999,1600 CC,Automatic,295.0,Minya
5524,Hyundai,Accent,Sedan,Other Color,2000,Benzine,10000 to 19999,1600 CC,Manual,72.0,Dakahlia
5525,Hyundai,Accent,Sedan,Other Color,2011,Benzine,10000 to 19999,1600 CC,Automatic,158.0,Dakahlia
5526,Hyundai,Accent,Sedan,Gray,2013,Benzine,100000 to 119999,1600 CC,Manual,155.0,Giza
5527,Hyundai,Accent,Sedan,Blue- Navy Blue,2016,Benzine,120000 to 139999,1600 CC,Automatic,245.0,Cairo
5528,Hyundai,Accent,Sedan,Beige,2006,Benzine,120000 to 139999,1000 - 1300 CC,Manual,80.0,Cairo
5529,Hyundai,Accent,Sedan,White,1998,Benzine,More than 200000,1400 - 1500 CC,Manual,25.0,Sharqia
5530,Hyundai,Accent,Sedan,Black,2011,Benzine,More than 200000,1600 CC,Manual,110.0,Giza
5531,Hyundai,Accent,Sedan,Gray,2004,Benzine,140000 to 159999,1000 - 1300 CC,Manual,73.0,Ismailia
5532,Hyundai,Accent,Sedan,Black,2019,Benzine,80000 to 89999,1600 CC,Automatic,250.0,Dakahlia
5533,Hyundai,Accent,Sedan,Beige,1999,Benzine,100000 to 119999,1000 - 1300 CC,Manual,70.0,Giza
5534,Hyundai,Accent,Sedan,Green,2000,Benzine,100000 to 119999,1400 - 1500 CC,Manual,65.0,Luxor
5535,Hyundai,Accent,Sedan,Other Color,2000,Benzine,10000 to 19999,1000 - 1300 CC,Manual,77.0,Red Sea
5536,Hyundai,Accent,Sedan,Red,2000,Benzine,20000 to 29999,1400 - 1500 CC,Manual,60.0,Gharbia
5537,Hyundai,Accent,Sedan,Blue- Navy Blue,2020,Benzine,20000 to 29999,1600 CC,Automatic,300.0,Cairo
5538,Hyundai,Accent,Sedan,Gray,2010,Benzine,0 to 9999,1000 - 1300 CC,Manual,135.0,Alexandria
5539,Hyundai,Accent,Sedan,Blue- Navy Blue,2008,Benzine,160000 to 179999,1600 CC,Manual,128.0,Alexandria
5540,Hyundai,Accent,Sedan,Other Color,2001,Benzine,160000 to 179999,1600 CC,Manual,70.0,Monufia
5541,Hyundai,Accent,Sedan,Silver,2006,Benzine,100000 to 119999,1000 - 1300 CC,Manual,83.0,Matruh
5542,Hyundai,Accent,Sedan,Black,2012,Benzine,More than 200000,1600 CC,Automatic,175.0,Gharbia
5543,Hyundai,Accent,Sedan,Burgundy,2019,Benzine,140000 to 159999,1600 CC,Automatic,250.0,Giza
5544,Hyundai,Accent,Sedan,Other Color,2010,Benzine,0 to 9999,1600 CC,Manual,135.0,Cairo
5545,Hyundai,Accent,Sedan,Black,2015,Benzine,100000 to 119999,1600 CC,Automatic,195.0,Qalyubia
5546,Hyundai,Accent,Sedan,Red,2005,Benzine,10000 to 19999,1000 - 1300 CC,Manual,75.0,Cairo
5547,Hyundai,Accent,Sedan,Green,2000,Benzine,20000 to 29999,1400 - 1500 CC,Manual,65.0,Cairo
5548,Hyundai,Accent,Sedan,Other Color,2010,Benzine,140000 to 159999,1600 CC,Automatic,153.0,Cairo
5549,Hyundai,Accent,Sedan,Black,1997,Benzine,More than 200000,1400 - 1500 CC,Manual,42.0,Cairo
5550,Hyundai,Accent,Sedan,Yellow,1998,Benzine,90000 to 99999,1600 CC,Manual,57.0,Alexandria
5551,Hyundai,Accent,Sedan,Silver,1999,Benzine,100000 to 119999,1400 - 1500 CC,Manual,68.0,Sharqia
5552,Hyundai,Accent,Sedan,Blue- Navy Blue,2000,Benzine,More than 200000,1000 - 1300 CC,Manual,55.0,Cairo
5553,Hyundai,Accent,Sedan,Silver,1999,Benzine,More than 200000,1000 - 1300 CC,Manual,55.0,Alexandria
5554,Hyundai,Accent,Sedan,Other Color,1999,Benzine,10000 to 19999,1400 - 1500 CC,Manual,75.0,Giza
5555,Hyundai,Accent,Sedan,Other Color,2012,Benzine,More than 200000,1600 CC,Automatic,175.0,Ismailia
5556,Hyundai,Accent,Sedan,White,2000,Benzine,More than 200000,1400 - 1500 CC,Automatic,65.0,Giza
5557,Hyundai,Accent,Sedan,Blue- Navy Blue,2011,Benzine,0 to 9999,1600 CC,Manual,120.0,Beni Suef
5558,Hyundai,Accent,Sedan,Red,2008,Benzine,20000 to 29999,1600 CC,Manual,130.0,South Sinai
5559,Hyundai,Accent,Sedan,Silver,2001,Benzine,140000 to 159999,1400 - 1500 CC,Automatic,90.0,Cairo
5560,Hyundai,Accent,Sedan,Gold,2003,Benzine,More than 200000,1000 - 1300 CC,Manual,72.0,Giza
