Brand,Model,Fuel,Car Age,Trasmission,Kilometers Group,Gov,Price,grouping
BMW,318,Benzine,5.0,Automatic,5.0,Faiyum,970.0,BMW 318 Benzine Automatic 5.0 5.0
BMW,318,Benzine,5.0,Automatic,5.0,Heliopolis,850.0,BMW 318 Benzine Automatic 5.0 5.0
BMW,318,Benzine,5.0,Automatic,5.0,Maadi,1000.0,BMW 318 Benzine Automatic 5.0 5.0
BMW,318,Benzine,5.0,Automatic,5.0,Sheikh Zayed City,935.0,BMW 318 Benzine Automatic 5.0 5.0
BMW,318,Benzine,5.0,Automatic,5.0,Tagamo3 - New Cairo,1200.0,BMW 318 Benzine Automatic 5.0 5.0
BMW,318,Benzine,5.0,Automatic,10.0,6 October,780.0,BMW 318 Benzine Automatic 5.0 10.0
BMW,318,Benzine,5.0,Automatic,10.0,Cairo,835.0,BMW 318 Benzine Automatic 5.0 10.0
BMW,318,Benzine,5.0,Automatic,10.0,El Manial,900.0,BMW 318 Benzine Automatic 5.0 10.0
BMW,318,Benzine,5.0,Automatic,10.0,Tagamo3 - New Cairo,950.0,BMW 318 Benzine Automatic 5.0 10.0
BMW,318,Benzine,6.0,Automatic,5.0,6 October,820.0,BMW 318 Benzine Automatic 6.0 5.0
BMW,318,Benzine,6.0,Automatic,5.0,Alexandria,830.0,BMW 318 Benzine Automatic 6.0 5.0
BMW,318,Benzine,6.0,Automatic,5.0,Nasr city,1050.0,BMW 318 Benzine Automatic 6.0 5.0
BMW,318,Benzine,6.0,Automatic,10.0,6 October,882.5,BMW 318 Benzine Automatic 6.0 10.0
BMW,318,Benzine,6.0,Automatic,10.0,Cairo,900.0,BMW 318 Benzine Automatic 6.0 10.0
BMW,318,Benzine,6.0,Automatic,15.0,6 October,820.0,BMW 318 Benzine Automatic 6.0 15.0
BMW,318,Benzine,6.0,Automatic,15.0,Nasr city,850.0,BMW 318 Benzine Automatic 6.0 15.0
BMW,318,Benzine,6.0,Automatic,15.0,Tagamo3 - New Cairo,800.0,BMW 318 Benzine Automatic 6.0 15.0
BMW,318,Benzine,6.0,Automatic,20.0,Maadi,750.0,BMW 318 Benzine Automatic 6.0 20.0
BMW,318,Benzine,7.0,Automatic,10.0,Cairo,700.0,BMW 318 Benzine Automatic 7.0 10.0
BMW,318,Benzine,7.0,Automatic,10.0,Dokki,745.0,BMW 318 Benzine Automatic 7.0 10.0
BMW,318,Benzine,7.0,Automatic,10.0,Nasr city,750.0,BMW 318 Benzine Automatic 7.0 10.0
BMW,318,Benzine,7.0,Automatic,10.0,Tagamo3 - New Cairo,920.0,BMW 318 Benzine Automatic 7.0 10.0
BMW,318,Benzine,7.0,Automatic,15.0,Cairo,850.0,BMW 318 Benzine Automatic 7.0 15.0
BMW,318,Benzine,7.0,Automatic,15.0,Heliopolis,890.0,BMW 318 Benzine Automatic 7.0 15.0
BMW,318,Benzine,11.0,Automatic,20.0,Port Said,575.0,BMW 318 Benzine Automatic 11.0 20.0
BMW,318,Benzine,12.0,Automatic,10.0,Giza,555.0,BMW 318 Benzine Automatic 12.0 10.0
BMW,318,Benzine,12.0,Automatic,10.0,Sheikh Zayed City,560.0,BMW 318 Benzine Automatic 12.0 10.0
BMW,318,Benzine,12.0,Automatic,15.0,Cairo,520.0,BMW 318 Benzine Automatic 12.0 15.0
BMW,318,Benzine,12.0,Automatic,20.0,Maadi,485.0,BMW 318 Benzine Automatic 12.0 20.0
BMW,318,Benzine,13.0,Automatic,15.0,Alexandria,446.6666666666667,BMW 318 Benzine Automatic 13.0 15.0
BMW,318,Benzine,13.0,Automatic,20.0,Giza,527.5,BMW 318 Benzine Automatic 13.0 20.0
BMW,318,Benzine,14.0,Automatic,20.0,Maadi,460.0,BMW 318 Benzine Automatic 14.0 20.0
BMW,318,Benzine,14.0,Automatic,25.0,Tagamo3 - New Cairo,450.0,BMW 318 Benzine Automatic 14.0 25.0
BMW,318,Benzine,18.0,Automatic,5.0,Cairo,350.0,BMW 318 Benzine Automatic 18.0 5.0
BMW,318,Benzine,18.0,Automatic,25.0,Cairo,310.0,BMW 318 Benzine Automatic 18.0 25.0
BMW,318,Benzine,18.0,Automatic,35.0,Shobra,360.0,BMW 318 Benzine Automatic 18.0 35.0
BMW,318,Benzine,19.0,Automatic,5.0,Nasr city,340.0,BMW 318 Benzine Automatic 19.0 5.0
BMW,318,Benzine,21.0,Automatic,30.0,Port Said,250.0,BMW 318 Benzine Automatic 21.0 30.0
BMW,318,Benzine,21.0,Automatic,45.0,Sheikh Zayed City,280.0,BMW 318 Benzine Automatic 21.0 45.0
BMW,318,Benzine,22.0,Automatic,5.0,Cairo,155.0,BMW 318 Benzine Automatic 22.0 5.0
BMW,318,Benzine,22.0,Automatic,10.0,Maadi,250.0,BMW 318 Benzine Automatic 22.0 10.0
BMW,318,Benzine,22.0,Automatic,30.0,Ismailia,285.0,BMW 318 Benzine Automatic 22.0 30.0
BMW,318,Benzine,26.0,Automatic,20.0,Sheikh Zayed City,230.0,BMW 318 Benzine Automatic 26.0 20.0
BMW,318,Benzine,27.0,Manual,5.0,El Haram,195.0,BMW 318 Benzine Manual 27.0 5.0
BMW,318,Benzine,30.0,Automatic,20.0,Cairo,185.0,BMW 318 Benzine Automatic 30.0 20.0
BMW,318,Benzine,31.0,Automatic,0.0,Mansoura,140.0,BMW 318 Benzine Automatic 31.0 0.0
BMW,318,Benzine,31.0,Manual,30.0,Cairo,140.0,BMW 318 Benzine Manual 31.0 30.0
BMW,318,Benzine,43.0,Manual,15.0,Beni Suef,52.0,BMW 318 Benzine Manual 43.0 15.0
BMW,318,Natural Gas,7.0,Automatic,10.0,Cairo,970.0,BMW 318 Natural Gas Automatic 7.0 10.0
BMW,320,Benzine,0.0,Automatic,0.0,Alexandria,2450.0,BMW 320 Benzine Automatic 0.0 0.0
BMW,320,Benzine,0.0,Automatic,0.0,Cairo,2350.0,BMW 320 Benzine Automatic 0.0 0.0
BMW,320,Benzine,3.0,Automatic,0.0,Zamalek,1690.0,BMW 320 Benzine Automatic 3.0 0.0
BMW,320,Benzine,4.0,Automatic,5.0,Alexandria,1300.0,BMW 320 Benzine Automatic 4.0 5.0
BMW,320,Benzine,4.0,Automatic,5.0,Maadi,1170.0,BMW 320 Benzine Automatic 4.0 5.0
BMW,320,Benzine,4.0,Automatic,5.0,Nasr city,1550.0,BMW 320 Benzine Automatic 4.0 5.0
BMW,320,Benzine,4.0,Automatic,10.0,El Haram,1280.0,BMW 320 Benzine Automatic 4.0 10.0
BMW,320,Benzine,5.0,Automatic,5.0,Alexandria,1450.0,BMW 320 Benzine Automatic 5.0 5.0
BMW,320,Benzine,5.0,Automatic,10.0,6 October,950.0,BMW 320 Benzine Automatic 5.0 10.0
BMW,320,Benzine,5.0,Automatic,10.0,Mansoura,1250.0,BMW 320 Benzine Automatic 5.0 10.0
BMW,320,Benzine,5.0,Automatic,10.0,Tagamo3 - New Cairo,1350.0,BMW 320 Benzine Automatic 5.0 10.0
BMW,320,Benzine,5.0,Automatic,15.0,Mohandessin,1200.0,BMW 320 Benzine Automatic 5.0 15.0
BMW,320,Benzine,7.0,Automatic,5.0,Cairo,1300.0,BMW 320 Benzine Automatic 7.0 5.0
BMW,320,Benzine,7.0,Automatic,5.0,Sheraton,1000.0,BMW 320 Benzine Automatic 7.0 5.0
BMW,320,Benzine,7.0,Automatic,5.0,Tagamo3 - New Cairo,1000.0,BMW 320 Benzine Automatic 7.0 5.0
BMW,320,Benzine,7.0,Automatic,10.0,Alexandria,1150.0,BMW 320 Benzine Automatic 7.0 10.0
BMW,320,Benzine,7.0,Automatic,10.0,Cairo,830.0,BMW 320 Benzine Automatic 7.0 10.0
BMW,320,Benzine,7.0,Automatic,10.0,Heliopolis,910.0,BMW 320 Benzine Automatic 7.0 10.0
