Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Hyundai,Accent,Sedan,Gold,Benzine,1,1.2,Manual,72.0,Damietta,0,23
Hyundai,Accent,Sedan,Black,Benzine,13,1.6,Manual,150.0,Cairo,0,13
Hyundai,Accent,Sedan,Black,Benzine,15,1.6,Manual,120.0,Cairo,0,13
Hyundai,Accent,Sedan,Black,Benzine,11,1.6,Automatic,165.0,Giza,0,12
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,1,1.5,Manual,30.0,Giza,0,29
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,11,1.2,Manual,85.0,Giza,0,17
Hyundai,Accent,Sedan,Gray,Benzine,10,1.5,Manual,133.0,Qalyubia,0,13
Hyundai,Accent,Sedan,Silver,Benzine,15,1.5,Manual,70.0,Cairo,0,24
Hyundai,Accent,Sedan,Silver,Benzine,15,1.5,Manual,57.0,Cairo,0,24
Hyundai,Accent,Sedan,Silver,Benzine,7,1.6,Automatic,153.0,Cairo,0,13
Hyundai,Accent,Sedan,Silver,Benzine,13,1.6,Automatic,190.0,Qalyubia,0,8
Hyundai,Accent,Sedan,Red,Benzine,14,1.6,Automatic,190.0,Alexandria,0,11
Hyundai,Accent,Sedan,Silver,Benzine,1,1.2,Manual,60.0,Dakahlia,0,23
Hyundai,Accent,Sedan,Green,Benzine,3,1.2,Manual,70.0,Kafr al-Sheikh,0,24
Hyundai,Accent,Sedan,Silver,Benzine,11,1.6,Automatic,195.0,Cairo,0,8
Hyundai,Accent,Sedan,Silver,Benzine,15,1.6,Automatic,205.0,Cairo,0,6
Hyundai,Accent,Sedan,Gray,Natural Gas,1,1.6,Automatic,190.0,Gharbia,0,9
Hyundai,Accent,Sedan,Silver,Benzine,10,1.6,Automatic,239.0,Cairo,0,6
Hyundai,Accent,Sedan,Other Color,Benzine,9,1.6,Manual,235.0,Cairo,0,11
Hyundai,Accent,Sedan,Silver,Benzine,1,1.6,Automatic,155.0,Minya,0,11
Hyundai,Accent,Sedan,Gray,Benzine,12,1.5,Manual,45.0,Red Sea,0,26
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,2,1.2,Manual,75.0,Qalyubia,0,17
Hyundai,Accent,Sedan,Beige,Benzine,13,1.5,Manual,65.0,Cairo,0,25
Hyundai,Accent,Sedan,Green,Benzine,14,1.2,Automatic,75.0,Sharqia,0,24
Hyundai,Accent,Sedan,Other Color,Benzine,1,1.6,Manual,125.0,Giza,0,13
Hyundai,Accent,Sedan,Other Color,Benzine,1,1.2,Manual,88.0,Matruh,0,17
Hyundai,Accent,Sedan,Gold,Benzine,11,1.6,Manual,120.0,Cairo,0,15
Hyundai,Accent,Sedan,Burgundy,Benzine,4,1.6,Manual,60.0,Giza,0,25
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,9,1.2,Manual,62.0,Giza,0,24
Hyundai,Accent,Sedan,Black,Natural Gas,15,1.6,Manual,79.0,Ismailia,0,13
Hyundai,Accent,Sedan,Other Color,Benzine,15,1.2,Manual,45.0,Giza,0,29
Hyundai,Accent,Sedan,Burgundy,Benzine,1,1.6,Automatic,180.0,Cairo,0,6
Hyundai,Accent,Sedan,Gold,Benzine,14,1.5,Manual,52.0,Cairo,0,23
Hyundai,Accent,Sedan,Other Color,Benzine,13,1.5,Manual,55.0,Gharbia,0,23
Hyundai,Accent,Sedan,Burgundy,Benzine,1,1.2,Manual,62.0,Cairo,0,25
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,15,1.5,Manual,55.0,Qalyubia,0,24
Hyundai,Accent,Sedan,Other Color,Benzine,0,1.2,Manual,60.0,Cairo,0,24
Hyundai,Accent,Sedan,Silver,Benzine,14,1.5,Manual,53.0,Suez,0,17
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,1,1.5,Manual,50.0,Qalyubia,0,25
Hyundai,Accent,Sedan,Silver,Benzine,14,1.2,Manual,83.0,Qena,0,18
Hyundai,Accent,Sedan,Red,Benzine,3,1.5,Manual,35.0,Matruh,0,23
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,13,1.2,Manual,60.0,Giza,0,17
Hyundai,Accent,Sedan,Burgundy,Benzine,11,1.6,Automatic,215.0,Giza,0,6
Hyundai,Accent,Sedan,Gold,Benzine,2,1.2,Manual,75.0,Cairo,0,17
Hyundai,Accent,Sedan,Other Color,Benzine,15,1.5,Manual,73.0,Giza,0,24
Hyundai,Accent,Sedan,Other Color,Benzine,10,1.5,Automatic,133.0,Giza,0,15
Hyundai,Accent,Sedan,Silver,Benzine,1,1.2,Manual,69.0,Kafr al-Sheikh,0,18
Hyundai,Accent,Sedan,Gray,Benzine,2,1.5,Manual,55.0,Cairo,0,25
Hyundai,Accent,Sedan,Green,Benzine,15,1.5,Manual,60.0,Qalyubia,0,24
