Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Chevrolet,Aveo,,Black,Benzine,24,2.5,Manual,195.0,Tagamo3 - New Cairo,1,9
Hyundai,I30,,Silver,Benzine,10,2.5,Automatic,275.0,Port Said,1,15
Chevrolet,Lanos,,Dark red,Benzine,17,2.5,Manual,165.0,Alexandria,1,8
Hyundai,Avante,,Silver,Benzine,18,2.5,Automatic,240.0,Kafr Shukr,1,22
Fiat,128,,Dark blue,Benzine,0,2.5,Manual,25.0,Sohag,1,39
Fiat,Tipo,,Black,Benzine,9,2.5,Automatic,550.0,Giza,1,3
Chevrolet,Aveo,,Silver,Benzine,10,2.5,Automatic,275.0,Cairo,1,6
Hyundai,Excel,,Green,Benzine,20,2.5,Manual,73.0,Shobra,1,29
Fiat,Punto evo,,Petroleum,Benzine,17,2.5,Automatic,220.0,Tagamo3 - New Cairo,1,12
Fiat,128,,Dark red,Benzine,0,2.5,Manual,30.0,Cairo,1,44
Hyundai,Tucson Turbo GDI || Tucson Turbo,,Black,Benzine,1,2.5,Automatic,1550.0,Tagamo3 - New Cairo,1,1
Hyundai,Avante,,Silver,Benzine,20,2.5,Automatic,250.0,Kafr el-Sheikh,1,22
Fiat,Tipo,,Gray,Benzine,4,2.5,Automatic,570.0,Cairo,1,1
Chevrolet,Optra,,Beige,Benzine,12,2.5,Automatic,245.0,Mit Ghamr,1,14
Hyundai,Elantra HD,,Silver,Benzine,3,2.5,Automatic,490.0,10th of Ramadan,1,3
Hyundai,Elantra,,Silver,Benzine,24,2.5,Automatic,295.0,10th of Ramadan,1,16
Hyundai,Excel,,Green,Benzine,15,2.5,Manual,65.0,Imbaba,1,25
Chevrolet,Optra,,Black,Benzine,2,2.5,Manual,240.0,Heliopolis,1,9
Fiat,Shahin,,Dark red,Benzine,0,2.5,Manual,100.0,Kafr el-Dawwar,1,16
Fiat,128,,White,Benzine,0,2.5,Manual,42.0,Beni Suef,1,37
Fiat,Tipo,,Mocha,Benzine,6,2.5,Automatic,600.0,Alexandria,1,3
Hyundai,Elantra HD,,Black,Benzine,4,2.5,Automatic,480.0,Imbaba,1,2
Hyundai,Verna,,Red,Benzine,24,2.5,Manual,150.0,Beni Suef,1,15
Hyundai,Elantra Coupe,,Red,Benzine,13,2.5,Manual,245.0,Giza,1,18
Chevrolet,Optra,,Dark blue,Benzine,10,2.5,Automatic,365.0,Helwan,1,4
Fiat,127,,Green,Benzine,0,2.5,Manual,17.0,Kerdasa,1,39
Chevrolet,Captiva,,Black,Benzine,13,2.5,Automatic,400.0,Mit Ghamr,1,11
Fiat,Punto,,Black,Benzine,12,2.5,Manual,130.0,Tagamo3 - New Cairo,1,11
Chevrolet,Pickup,,White,Natural Gas,18,2.5,Manual,400.0,El Haram,1,4
Fiat,Tipo,,Dark red,Benzine,6,2.5,Automatic,475.0,Mansoura,1,3
Fiat,Palio,,Red,Benzine,10,2.5,Manual,125.0,Alexandria,1,17
Fiat,Tipo,,Light grey,Benzine,0,2.5,Automatic,650.0,Beheira,1,1
Chevrolet,Optra,,Silver,Natural Gas,11,2.5,Automatic,270.0,El Haram,1,9
Hyundai,IX 35,,Black,Benzine,13,2.5,Automatic,600.0,Nasr city,1,8
Hyundai,Viva,,White,Benzine,12,2.5,Manual,170.0,Alexandria,1,14
Hyundai,Elantra HD,,Silver,Benzine,16,2.5,Automatic,460.0,Mansoura,1,4
Chevrolet,Aveo,,Light grey,Benzine,6,2.5,Automatic,300.0,Heliopolis,1,7
Hyundai,Accent,,Yellow,Benzine,18,2.5,Manual,95.0,Agamy,1,24
Fiat,Regata,,White,Benzine,25,2.5,Manual,30.0,Cairo,1,34
Chevrolet,N200,,Dark red,Benzine,0,2.5,Manual,90.0,Imbaba,1,13
Chevrolet,N200,,White,Benzine,25,2.5,Manual,90.0,Cairo,1,12
Chevrolet,Aveo,,Red,Benzine,18,2.5,Manual,150.0,Alexandria,1,16
Chevrolet,Lanos,,Silver,Benzine,14,2.5,Manual,170.0,Cairo,1,13
Fiat,Shahin,,Red,Benzine,0,2.5,Manual,42.0,Monufia,1,28
Hyundai,Excel,,Dark blue,Benzine,25,2.5,Manual,63.0,Maadi,1,25
Hyundai,H1,,Silver,Natural Gas,20,2.5,Manual,160.0,Mohandessin,1,23
Hyundai,Tucson Turbo GDI || Tucson Turbo,,Black,Benzine,12,2.5,Automatic,600.0,Faiyum,1,6
Fiat,Tipo,,White,Benzine,4,2.5,Manual,350.0,Kafr el-Sheikh,1,3
Fiat,Palio,,Cyan,Benzine,16,2.5,Manual,130.0,Al Shorouk,1,17
Hyundai,Elantra MD,,Bronze,Benzine,12,2.5,Automatic,395.0,Heliopolis,1,11
Hyundai,Elantra MD,,Silver,Benzine,12,2.5,Automatic,450.0,Imbaba,1,7
Fiat,Tipo,,Dark blue,Benzine,3,2.5,Automatic,500.0,Obour City,1,2
Hyundai,Elantra HD,,Gray,Benzine,18,2.5,Automatic,400.0,Tagamo3 - New Cairo,1,5
Hyundai,Accent,,Green,Benzine,18,2.5,Manual,125.0,Shibin el Kom,1,24
Fiat,Tipo,,Dark green,Benzine,6,2.5,Manual,400.0,Shobra,1,2
Chevrolet,Lanos,,Gray,Benzine,11,2.5,Manual,180.0,El Haram,1,7
Hyundai,Tucson,,Petroleum,Benzine,8,2.5,Automatic,815.0,Tagamo3 - New Cairo,1,6
Hyundai,Creta,,Red,Benzine,8,2.5,Automatic,790.0,Tagamo3 - New Cairo,1,2
Hyundai,Excel,,Dark green,Benzine,0,2.5,Manual,70.0,Ain Shams,1,27
Hyundai,Getz,,Light grey,Benzine,11,2.5,Automatic,275.0,Tagamo3 - New Cairo,1,13
Hyundai,Elantra MD,,Light grey,Benzine,20,2.5,Automatic,335.0,Warraq,1,10
Hyundai,Elantra HD,,White,Benzine,19,2.5,Automatic,365.0,Alexandria,1,6
Chevrolet,Aveo,,Silver,Benzine,16,2.5,Manual,170.0,Beni Suef,1,14
