Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new
Hyundai,Accent,Sedan,Other Color,2011.0,Benzine,10000 to 19999,1600 CC,Automatic,158.0,Dakahlia,0
Hyundai,Accent,Sedan,Gray,2013.0,Benzine,100000 to 119999,1600 CC,Manual,155.0,Giza,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2016.0,Benzine,120000 to 139999,1600 CC,Automatic,245.0,Cairo,0
Hyundai,Accent,Sedan,Beige,2006.0,Benzine,120000 to 139999,1000 - 1300 CC,Manual,80.0,Cairo,0
Hyundai,Accent,Sedan,White,1998.0,Benzine,More than 200000,1400 - 1500 CC,Manual,25.0,Sharqia,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,More than 200000,1600 CC,Manual,110.0,Giza,0
Hyundai,Accent,Sedan,Gray,2004.0,Benzine,140000 to 159999,1000 - 1300 CC,Manual,73.0,Ismailia,0
Hyundai,Accent,Sedan,Black,2019.0,Benzine,80000 to 89999,1600 CC,Automatic,250.0,Dakahlia,0
Hyundai,Accent,Sedan,Beige,1999.0,Benzine,100000 to 119999,1000 - 1300 CC,Manual,70.0,Giza,0
Hyundai,Accent,Sedan,Green,2000.0,Benzine,100000 to 119999,1400 - 1500 CC,Manual,65.0,Luxor,0
Hyundai,Accent,Sedan,Other Color,2000.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,77.0,Red Sea,0
Hyundai,Accent,Sedan,Red,2000.0,Benzine,20000 to 29999,1400 - 1500 CC,Manual,60.0,Gharbia,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2020.0,Benzine,20000 to 29999,1600 CC,Automatic,300.0,Cairo,0
Hyundai,Accent,Sedan,Gray,2010.0,Benzine,0 to 9999,1000 - 1300 CC,Manual,135.0,Alexandria,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2008.0,Benzine,160000 to 179999,1600 CC,Manual,128.0,Alexandria,0
Hyundai,Accent,Sedan,Other Color,2001.0,Benzine,160000 to 179999,1600 CC,Manual,70.0,Monufia,0
Hyundai,Accent,Sedan,Silver,2006.0,Benzine,100000 to 119999,1000 - 1300 CC,Manual,83.0,Matruh,0
Hyundai,Accent,Sedan,Black,2012.0,Benzine,More than 200000,1600 CC,Automatic,175.0,Gharbia,0
Hyundai,Accent,Sedan,Burgundy,2019.0,Benzine,140000 to 159999,1600 CC,Automatic,250.0,Giza,0
Hyundai,Accent,Sedan,Other Color,2010.0,Benzine,0 to 9999,1600 CC,Manual,135.0,Cairo,0
Hyundai,Accent,Sedan,Black,2015.0,Benzine,100000 to 119999,1600 CC,Automatic,195.0,Qalyubia,0
Hyundai,Accent,Sedan,Red,2005.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,75.0,Cairo,0
Hyundai,Accent,Sedan,Green,2000.0,Benzine,20000 to 29999,1400 - 1500 CC,Manual,65.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,2010.0,Benzine,140000 to 159999,1600 CC,Automatic,153.0,Cairo,0
Hyundai,Accent,Sedan,Black,1997.0,Benzine,More than 200000,1400 - 1500 CC,Manual,42.0,Cairo,0
Hyundai,Accent,Sedan,Yellow,1998.0,Benzine,90000 to 99999,1600 CC,Manual,57.0,Alexandria,0
Hyundai,Accent,Sedan,Silver,1999.0,Benzine,100000 to 119999,1400 - 1500 CC,Manual,68.0,Sharqia,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2000.0,Benzine,More than 200000,1000 - 1300 CC,Manual,55.0,Cairo,0
Hyundai,Accent,Sedan,Silver,1999.0,Benzine,More than 200000,1000 - 1300 CC,Manual,55.0,Alexandria,0
Hyundai,Accent,Sedan,Other Color,1999.0,Benzine,10000 to 19999,1400 - 1500 CC,Manual,75.0,Giza,0
Hyundai,Accent,Sedan,Other Color,2012.0,Benzine,More than 200000,1600 CC,Automatic,175.0,Ismailia,0
Hyundai,Accent,Sedan,White,2000.0,Benzine,More than 200000,1400 - 1500 CC,Automatic,65.0,Giza,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2011.0,Benzine,0 to 9999,1600 CC,Manual,120.0,Beni Suef,0
Hyundai,Accent,Sedan,Red,2008.0,Benzine,20000 to 29999,1600 CC,Manual,130.0,South Sinai,0
Hyundai,Accent,Sedan,Silver,2001.0,Benzine,140000 to 159999,1400 - 1500 CC,Automatic,90.0,Cairo,0
